Een dinsdag	Un mardi	A Tuesday	Ein Dienstag	Un martes
Een tijdslot voorstellen, vastzetten en bevestigen gebeurt in hetzelfde gesprek. Terugbellen is een belofte die vaak sneuvelt, en dat weet je klant ook.	Proposer un créneau, le fixer et le confirmer se fait dans la même conversation. Rappeler est une promesse qui tombe souvent à l'eau, et votre client le sait aussi.	Proposing a slot, booking it and confirming it all happens in the same conversation. Calling back is a promise that often falls through, and your customer knows that too.	Ein Zeitfenster vorschlagen, fixieren und bestätigen passiert im selben Gespräch. Zurückrufen ist ein Versprechen, das oft platzt, und das weiß Ihr Kunde auch.	Proponer una franja, fijarla y confirmarla ocurre en la misma conversación. Devolver la llamada es una promesa que a menudo se cae, y tu cliente también lo sabe.
Een tijdslot wordt alleen aangeboden als er ruimte voor de hele klus is en de benodigde plek vrij is. Half een brug boeken is niet boeken.	Un créneau n'est proposé que s'il y a de la place pour toute l'intervention et que le poste nécessaire est libre. Réserver un demi-pont, ce n'est pas réserver.	A slot is only offered if there is room for the whole job and the required bay is free. Booking half a ramp is not booking.	Ein Zeitfenster wird nur angeboten, wenn Platz für die ganze Arbeit da ist und der nötige Platz frei ist. Eine halbe Hebebühne zu buchen ist kein Buchen.	Una franja solo se ofrece si hay sitio para todo el trabajo y el puesto necesario está libre. Reservar medio elevador no es reservar.
Een vaste klant die wegdrijft.	Un client fidèle qui s'éloigne.	A regular customer drifting away.	Ein Stammkunde, der abdriftet.	Un cliente habitual que se va alejando.
Een verzette afspraak verhuist meteen mee in de planning.	Un rendez-vous déplacé se déplace aussitôt dans le planning.	A rescheduled appointment moves along in the planning straight away.	Ein verschobener Termin wandert sofort in der Planung mit.	Una cita cambiada se mueve enseguida en el planning.
Een voorbeeld, geen opname van een klant. De toon zet je zelf, dit is de onze.	Un exemple, pas l'enregistrement d'un client. Le ton, c'est vous qui le fixez, celui-ci est le nôtre.	An example, not a recording of a customer. You set the tone yourself, this one is ours.	Ein Beispiel, keine Aufnahme eines Kunden. Den Ton bestimmen Sie selbst, dies ist unserer.	Un ejemplo, no la grabación de un cliente. El tono lo pones tú, este es el nuestro.
Een vrijgekomen ochtend wordt aangeboden aan wie toch al wachtte. Dat is werk dat je anders pas volgende week had gedaan.	Une matinée libérée est proposée à celui qui attendait déjà. C'est du travail que vous n'auriez fait que la semaine suivante.	A freed-up morning gets offered to whoever was already waiting. That is work you would otherwise only have done next week.	Ein frei gewordener Vormittag wird dem angeboten, der ohnehin schon wartete. Das ist Arbeit, die Sie sonst erst nächste Woche gemacht hätten.	Una mañana que se libera se ofrece a quien ya estaba esperando. Eso es trabajo que si no habrías hecho la semana siguiente.
Een wagen die niemand aanbiedt, verhuurt zichzelf niet. Dit maakt hem onderdeel van elk gesprek waarin hij nuttig is.	Une voiture que personne ne propose ne se loue pas toute seule. Cela l'intègre à chaque conversation où elle est utile.	A car nobody offers does not rent itself out. This makes it part of every conversation in which it is useful.	Ein Wagen, den niemand anbietet, vermietet sich nicht von selbst. Das macht ihn zum Teil jedes Gesprächs, in dem er nützlich ist.	Un coche que nadie ofrece no se alquila solo. Esto lo convierte en parte de cada conversación en la que resulta útil.
Eerst	D'abord	First	Zuerst	Primero
Eerst de klus bepalen	D'abord déterminer l'intervention	First establish the job	Zuerst die Arbeit bestimmen	Primero determinar el trabajo
Eerst de klus. Dan pas een tijdslot.	D'abord l'intervention. Le créneau ensuite.	The job first. Only then a slot.	Erst die Arbeit. Dann erst ein Zeitfenster.	Primero el trabajo. Solo después la franja.
Eerst het grootste gat.	D'abord le plus grand trou.	The biggest gap first.	Zuerst die größte Lücke.	Primero el agujero más grande.
Eerst rust, dan gegevens	D'abord le calme, ensuite les données	Calm first, then data	Erst Ruhe, dann Daten	Primero calma, luego datos
Eerst uitzoeken wat de klus is, dan pas een tijdslot noemen. Met de duur die bij jouw werkplaats hoort.	D'abord déterminer l'intervention, puis seulement annoncer un créneau. Avec la durée propre à votre atelier.	First work out what the job is, only then name a slot. With the duration that belongs to your workshop.	Erst klären, was die Arbeit ist, dann erst ein Zeitfenster nennen. Mit der Dauer, die zu Ihrer Werkstatt gehört.	Primero averiguar cuál es el trabajo, solo después nombrar una franja. Con la duración que corresponde a tu taller.
Eerst uitzoeken wat het is, dan pas een moment noemen.	D'abord déterminer de quoi il s'agit, puis seulement proposer un moment.	First work out what it is, only then name a moment.	Erst klären, worum es geht, dann erst einen Zeitpunkt nennen.	Primero averiguar de qué se trata, solo después nombrar un momento.
Eerst uitzoeken, dan pas iets beloven.	D'abord vérifier, ensuite seulement promettre.	Find out first, only then promise anything.	Erst nachsehen, dann erst etwas zusagen.	Primero comprobar, solo después prometer algo.
Eerst weten wat er ligt. Dan pas een datum.	D'abord savoir ce qui est en stock. Ensuite seulement une date.	Know what is in stock first. Only then a date.	Erst wissen, was da ist. Dann erst ein Datum.	Primero saber qué hay. Solo después una fecha.
Eigen risico, brandstof, kilometerbeperking, welk rijbewijs en vanaf welke leeftijd. De dingen waar achteraf discussie over ontstaat, staan er vooraf.	Franchise, carburant, limitation kilométrique, quel permis et à partir de quel âge. Les points qui créent des discussions après coup sont annoncés d'avance.	Excess, fuel, mileage limit, which licence and from what age. The things that cause arguments afterwards are stated in advance.	Selbstbeteiligung, Kraftstoff, Kilometerbegrenzung, welcher Führerschein und ab welchem Alter. Die Dinge, über die es hinterher Diskussionen gibt, stehen vorher da.	Franquicia, combustible, límite de kilómetros, qué carné y a partir de qué edad. Las cosas que después generan discusión figuran de antemano.
Elk erkend bedrijf heeft de vervaldatums van zijn klanten. Het is de meest voorspelbare omzet in de hele werkplaats: je weet maanden vooruit wie er moet komen. En juist die omzet laat bijna iedereen liggen, omdat afbellen werk is dat nooit dringend genoeg wordt.	Tout centre agréé possède les dates d'expiration de ses clients. C'est le chiffre d'affaires le plus prévisible de tout l'atelier : vous savez des mois à l'avance qui doit venir. Et c'est précisément ce chiffre que presque tout le monde laisse filer, parce que passer les appels est un travail qui ne devient jamais assez urgent.	Every approved business has its customers' expiry dates. It is the most predictable turnover in the whole workshop: you know months ahead who has to come. And it is exactly that turnover almost everyone leaves lying, because ringing round is work that never becomes urgent enough.	Jeder anerkannte Betrieb hat die Ablaufdaten seiner Kunden. Es ist der vorhersehbarste Umsatz der ganzen Werkstatt: Sie wissen Monate im Voraus, wer kommen muss. Und genau diesen Umsatz lässt fast jeder liegen, weil Abtelefonieren Arbeit ist, die nie dringend genug wird.	Todo taller autorizado tiene las fechas de caducidad de sus clientes. Es la facturación más previsible de todo el taller: sabes con meses de antelación quién tiene que venir. Y justo esa facturación casi todo el mundo la deja pasar, porque llamar uno por uno es trabajo que nunca llega a ser lo bastante urgente.
Elk gesprek teruglezen en exporteren	Relire et exporter chaque conversation	Read back and export every conversation	Jedes Gespräch nachlesen und exportieren	Releer y exportar cada conversación
Elke auto heeft een volgende keer	Chaque voiture a une prochaine fois	Every car has a next time	Jedes Auto hat ein nächstes Mal	Cada coche tiene una próxima vez
Elke leverancier heeft een lijst met mogelijkheden. Deze lijst is nuttiger, want hij bepaalt of je na drie maanden teleurgesteld bent.	Chaque fournisseur a une liste de possibilités. Cette liste-ci est plus utile, car elle détermine si vous serez déçu au bout de trois mois.	Every supplier has a list of capabilities. This list is more useful, because it decides whether you are disappointed after three months.	Jeder Anbieter hat eine Liste mit Möglichkeiten. Diese Liste ist nützlicher, denn sie entscheidet, ob Sie nach drei Monaten enttäuscht sind.	Todo proveedor tiene una lista de posibilidades. Esta lista es más útil, porque decide si a los tres meses estarás decepcionado.
Elke navraag krijgt een afloop: besteld, afgehaakt of ingepland. Geen briefjes meer op de toonbank.	Chaque demande reçoit une issue : commandée, abandonnée ou planifiée. Fini les petits papiers sur le comptoir.	Every enquiry gets an outcome: ordered, dropped or scheduled. No more notes on the counter.	Jede Anfrage bekommt ein Ende: bestellt, abgesprungen oder eingeplant. Keine Zettel mehr auf dem Tresen.	Cada consulta tiene un desenlace: pedida, abandonada o planificada. Se acabaron los papelitos en el mostrador.
Elke offerte krijgt een status	Chaque devis reçoit un statut	Every quote gets a status	Jedes Angebot bekommt einen Status	Cada presupuesto recibe un estado
Elke vraag die je niet hoeft te stellen, is een moment minder waarop een klant afhaakt.	Chaque question que vous n'avez pas à poser est un moment de moins où un client décroche.	Every question you do not have to ask is one less moment at which a customer drops out.	Jede Frage, die Sie nicht stellen müssen, ist ein Moment weniger, an dem ein Kunde abspringt.	Cada pregunta que no tienes que hacer es un momento menos en el que el cliente se cae.
Elke week lezen we gesprekken terug en passen we aan wat misgaat. Je ziet precies wat er gezegd is en wat er is ingepland.	Chaque semaine, nous relisons des conversations et corrigeons ce qui cloche. Vous voyez exactement ce qui a été dit et ce qui a été planifié.	Every week we read conversations back and adjust what goes wrong. You see exactly what was said and what was scheduled.	Jede Woche lesen wir Gespräche nach und passen an, was schiefläuft. Sie sehen genau, was gesagt und was eingeplant wurde.	Cada semana releemos conversaciones y corregimos lo que falla. Ves exactamente qué se dijo y qué se planificó.
En kan dat vandaag nog?	Et est-ce possible aujourd'hui ?	And can that still be today?	Und geht das noch heute?	¿Y puede ser hoy mismo?
En kan ik ondertussen een auto lenen?	Et puis-je emprunter une voiture entre-temps ?	And can I borrow a car in the meantime?	Und kann ich in der Zwischenzeit ein Auto leihen?	¿Y puedo llevarme un coche mientras tanto?
Er is code, maar het staat nog niet bij een klant. We noemen geen opleverdatum die we niet kunnen halen.	Le code existe, mais rien n'est encore en place chez un client. Nous n'annonçons pas de date de livraison que nous ne pourrions pas tenir.	There is code, but it is not yet at a customer. We do not name a delivery date we cannot meet.	Es gibt Code, aber es steht noch nicht bei einem Kunden. Wir nennen kein Lieferdatum, das wir nicht halten können.	Hay código, pero todavía no está en ningún cliente. No damos una fecha de entrega que no podamos cumplir.
Er ligt nog niets. Het staat er omdat garages ernaar vragen en omdat zij de volgorde bepalen.	Rien n'existe encore. Cela figure ici parce que des garages le demandent et parce que ce sont eux qui décident de l'ordre.	There is nothing yet. It is listed because garages ask for it and because they decide the order.	Es liegt noch nichts vor. Es steht hier, weil Werkstätten danach fragen und weil sie die Reihenfolge bestimmen.	Todavía no hay nada. Está aquí porque los talleres lo piden y porque ellos deciden el orden.
Er wordt aan gebouwd.	C'est en construction.	It is being built.	Daran wird gebaut.	Se está construyendo.
Er wordt aan gewerkt, maar er draait nog geen koppeling bij een garage. Daarom staat hier "in ontwikkeling" en niet "live". Wil je hiermee starten, dan hoor je van ons wat er vandaag wel en niet kan voordat je iets tekent.	Nous y travaillons, mais aucune intégration ne tourne encore chez un garage. C'est pourquoi il est indiqué ici « en développement » et non « en ligne ». Si vous voulez démarrer avec cela, nous vous dirons ce qui est possible aujourd'hui avant que vous ne signiez quoi que ce soit.	We are working on it, but no integration is running at a garage yet. That is why this says "in development" and not "live". If you want to start with this, you will hear from us what can and cannot be done today before you sign anything.	Daran wird gearbeitet, aber es läuft noch keine Anbindung bei einer Werkstatt. Deshalb steht hier „in Entwicklung" und nicht „live". Wollen Sie damit starten, hören Sie von uns, was heute geht und was nicht, bevor Sie etwas unterschreiben.	Estamos trabajando en ello, pero todavía no hay ninguna integración funcionando en un taller. Por eso aquí pone «en desarrollo» y no «activo». Si quieres empezar con esto, te diremos qué se puede hacer hoy y qué no antes de que firmes nada.
Er wordt niet nagebeld. Over drie weken weet niemand meer dat die offerte bestond.	Personne ne relance. Dans trois semaines, plus personne ne saura que ce devis a existé.	Nobody follows up. In three weeks nobody remembers that quote existed.	Es wird nicht nachgefasst. In drei Wochen weiß niemand mehr, dass dieses Angebot existierte.	Nadie hace seguimiento. Dentro de tres semanas nadie recordará que ese presupuesto existió.
Er wordt opgenomen.	Quelqu'un décroche.	Someone picks up.	Es wird abgenommen.	Alguien contesta.
Er wordt pas een datum geboekt nadat duidelijk is wanneer het onderdeel er is. Zo staat er nooit een auto op de brug zonder onderdeel.	Une date n'est réservée qu'une fois qu'on sait quand la pièce arrive. Ainsi, aucune voiture ne se retrouve sur le pont sans pièce.	A date is only booked once it is clear when the part arrives. That way no car ever stands on the ramp without a part.	Ein Datum wird erst gebucht, wenn klar ist, wann das Teil da ist. So steht nie ein Auto ohne Teil auf der Hebebühne.	Solo se reserva fecha cuando está claro cuándo llega la pieza. Así nunca hay un coche en el elevador sin pieza.
Exporteerbaar, altijd	Exportable, toujours	Exportable, always	Exportierbar, immer	Exportable, siempre
Eén dinsdag. Alles wat er langskwam.	Un mardi. Tout ce qui est passé.	One Tuesday. Everything that came past.	Ein Dienstag. Alles, was vorbeikam.	Un martes. Todo lo que pasó.
Eén geheugen	Une seule mémoire	One memory	Ein Gedächtnis	Una sola memoria
Eén klantenbestand blijft één klantenbestand. Dat is op termijn belangrijker dan welke functie dan ook.	Un fichier clients reste un fichier clients. À terme, c'est plus important que n'importe quelle fonctionnalité.	One customer base stays one customer base. In the long run that matters more than any feature.	Eine Kundendatei bleibt eine Kundendatei. Auf Dauer ist das wichtiger als jede Funktion.	Un fichero de clientes sigue siendo un fichero de clientes. A la larga eso importa más que cualquier función.
Eén klantenbestand in plaats van twee die uit de pas lopen	Un seul fichier clients au lieu de deux qui divergent	One customer base instead of two that drift apart	Eine Kundendatei statt zwei, die auseinanderlaufen	Un solo fichero de clientes en vez de dos que se desincronizan
Eén overzicht	Une seule vue d'ensemble	One overview	Eine Übersicht	Una sola vista
Eén planning	Un seul planning	One planning	Eine Planung	Un solo planning
Eén scherm met wat er vandaag te winnen valt.	Un écran avec ce qu'il y a à gagner aujourd'hui.	One screen with what there is to win today.	Ein Bildschirm mit dem, was heute zu holen ist.	Una pantalla con lo que hay que ganar hoy.
Eén stel afspraken	Un seul jeu de règles	One set of rules	Ein Satz Absprachen	Un solo conjunto de reglas
Eén systeem eronder.	Un seul système en dessous.	One system underneath.	Ein System darunter.	Un sistema debajo.
Eén systeem tussen je klant	Un seul système entre votre client	One system between your customer	Ein System zwischen Ihrem Kunden	Un sistema entre tu cliente
Eén systeem. Elke werkstroom die er tussenin zit.	Un seul système. Chaque flux qui s'y trouve.	One system. Every workflow in between.	Ein System. Jeder Ablauf, der dazwischen liegt.	Un sistema. Todos los flujos que hay en medio.
Eén systeem. Vijf lagen.	Un seul système. Cinq couches.	One system. Five layers.	Ein System. Fünf Schichten.	Un sistema. Cinco capas.
Eén werkstroom	Un flux de travail	One workflow	Ein Arbeitsablauf	Un flujo de trabajo
Eén werkstroom aan	Un flux activé	One workflow switched on	Ein Ablauf eingeschaltet	Un flujo activado
Formulier	Formulaire	Form	Formular	Formulario
Foto's ophalen, afspraak maken of doorgeven aan een mens.	Récupérer les photos, prendre rendez-vous ou transmettre à un humain.	Collect photos, make an appointment or hand over to a person.	Fotos einholen, Termin machen oder an einen Menschen übergeben.	Recoger fotos, concertar cita o pasar a una persona.
Foto's, gegevens en verzekeraar voor de auto binnenrijdt.	Photos, données et assureur avant que la voiture n'entre.	Photos, details and insurer before the car drives in.	Fotos, Daten und Versicherer, bevor das Auto hereinfährt.	Fotos, datos y aseguradora antes de que entre el coche.
Foto's, kenteken, verzekeraar en toedracht binnen voordat de auto voorrijdt.	Photos, plaque, assureur et circonstances reçus avant que la voiture ne se présente.	Photos, registration, insurer and circumstances in before the car pulls up.	Fotos, Kennzeichen, Versicherer und Hergang da, bevor das Auto vorfährt.	Fotos, matrícula, aseguradora y circunstancias recibidas antes de que llegue el coche.
Foto’s in het gesprek	Des photos dans la conversation	Photos in the conversation	Fotos im Gespräch	Fotos en la conversación
Gaan er veel offertes de deur uit	Beaucoup de devis partent	Do a lot of quotes go out	Gehen viele Angebote raus	¿Salen muchos presupuestos?
Garages bepalen wat er als eerste af is.	Les garages décident de ce qui sera prêt en premier.	Garages decide what is finished first.	Werkstätten bestimmen, was zuerst fertig ist.	Los talleres deciden qué se termina primero.
Gaten die zichzelf vullen	Des trous qui se comblent d'eux-mêmes	Gaps that fill themselves	Lücken, die sich selbst füllen	Huecos que se llenan solos
Geboekt, afgewezen of verlopen. Geen lijst meer met dingen waarvan niemand weet of ze nog leven.	Réservé, refusé ou expiré. Fini la liste de choses dont personne ne sait si elles sont encore vivantes.	Booked, declined or expired. No more list of things nobody knows are still alive.	Gebucht, abgelehnt oder abgelaufen. Keine Liste mehr mit Dingen, von denen niemand weiß, ob sie noch leben.	Reservado, rechazado o caducado. Se acabó la lista de cosas de las que nadie sabe si siguen vivas.
Gebouwd voor de garage	Conçu pour le garage	Built for the garage	Gebaut für die Werkstatt	Hecho para el taller
