Bevestigen en herinneren	Confirmer et rappeler	Confirm and remind	Bestätigen und erinnern	Confirmar y recordar
De afspraak van twee uur komt niet opdagen. Je monteur staat er, de kosten lopen door, en het is te laat om het gat nog te vullen. Vier no-shows per maand is ruim een halve werkdag die je gewoon weggeeft.	Le rendez-vous de quatorze heures ne se présente pas. Votre mécanicien est là, les frais courent, et il est trop tard pour combler le trou. Quatre rendez-vous manqués par mois, c'est plus d'une demi-journée de travail que vous offrez purement et simplement.	The two o'clock appointment does not turn up. Your mechanic is standing there, the costs carry on, and it is too late to fill the gap. Four no-shows a month is well over half a working day that you simply give away.	Der Zwei-Uhr-Termin erscheint nicht. Ihr Mechaniker steht da, die Kosten laufen weiter, und es ist zu spät, die Lücke zu füllen. Vier No-Shows im Monat sind gut ein halber Arbeitstag, den Sie einfach verschenken.	La cita de las dos no se presenta. Tu mecánico está ahí, los costes siguen corriendo y ya es tarde para llenar el hueco. Cuatro ausencias al mes son más de media jornada que regalas sin más.
De afspraak vasthouden.	Retenir le rendez-vous.	Holding on to the appointment.	Den Termin halten.	Retener la cita.
De afspraak volgt de levertijd	Le rendez-vous suit le délai de livraison	The appointment follows the delivery time	Der Termin richtet sich nach der Lieferzeit	La cita sigue al plazo de entrega
De afspraak wordt vastgezet	Le rendez-vous est fixé	The appointment is booked	Der Termin wird fixiert	La cita se fija
De agents	Les agents	The agents	Die Agents	Los agentes
De agents delen hetzelfde geheugen, schrijven naar dezelfde planning en tellen op in hetzelfde overzicht. Daardoor is het een proces en geen los hulpje.	Les agents partagent la même mémoire, écrivent dans le même planning et s'additionnent dans la même vue. C'est pour cela que c'est un processus et pas un petit outil isolé.	The agents share the same memory, write into the same planning and add up in the same overview. That is what makes it a process and not a loose little helper.	Die Agents teilen dasselbe Gedächtnis, schreiben in dieselbe Planung und summieren sich in derselben Übersicht. Dadurch ist es ein Prozess und kein loses Hilfsmittel.	Los agentes comparten la misma memoria, escriben en el mismo planning y suman en la misma vista. Por eso es un proceso y no una ayudita suelta.
De auto erbij, niet alleen de vraag.	La voiture aussi, pas seulement la question.	The car as well, not just the question.	Das Auto dazu, nicht nur die Frage.	El coche también, no solo la pregunta.
De auto staat er zonder dat iemand weet wie het betaalt.	La voiture est là sans que personne ne sache qui paie.	The car is there without anyone knowing who is paying.	Das Auto steht da, ohne dass jemand weiß, wer bezahlt.	El coche está ahí sin que nadie sepa quién paga.
De balie heeft iemand aan de toonbank, de tweede lijn rinkelt en er staat een leverancier te wachten met een pakbon.	Le comptoir a quelqu'un devant lui, la deuxième ligne sonne et un fournisseur attend avec un bon de livraison.	The front desk has someone at the counter, the second line is ringing and a supplier is waiting with a delivery note.	Der Empfang hat jemanden am Tresen, die zweite Leitung klingelt und ein Lieferant wartet mit einem Lieferschein.	El mostrador tiene a alguien delante, suena la segunda línea y un proveedor espera con un albarán.
De basis onder de herinneringen voor beurten, zodat die op jouw intervallen lopen en niet op een standaardschema.	La base des rappels d'entretien, pour qu'ils suivent vos intervalles et non un schéma standard.	The basis for the service reminders, so they run on your intervals and not on a standard schedule.	Die Grundlage für die Inspektionserinnerungen, damit sie nach Ihren Intervallen laufen und nicht nach einem Standardschema.	La base de los recordatorios de revisión, para que sigan tus intervalos y no un esquema estándar.
De beelden komen binnen op het moment dat de klant er toch al mee bezig is, niet drie dagen later.	Les images arrivent au moment où le client s'en occupe déjà, pas trois jours plus tard.	The images come in at the moment the customer is already dealing with it, not three days later.	Die Bilder kommen in dem Moment, in dem der Kunde ohnehin damit beschäftigt ist, nicht drei Tage später.	Las imágenes llegan en el momento en que el cliente ya está con ello, no tres días después.
De beller krijgt binnen een paar seconden iemand aan de lijn die de vraag begrijpt en het kenteken noteert. Je monteur legt zijn sleutel niet neer en je balie maakt haar gesprek af.	En quelques secondes, celui qui appelle a quelqu'un au bout du fil qui comprend la demande et note la plaque. Votre mécanicien ne pose pas sa clé et votre comptoir termine sa conversation.	Within a few seconds the caller has someone on the line who understands the question and notes the registration. Your mechanic does not put down his spanner and your front desk finishes its conversation.	Innerhalb weniger Sekunden hat der Anrufer jemanden am Apparat, der die Frage versteht und das Kennzeichen notiert. Ihr Mechaniker legt seinen Schlüssel nicht weg und Ihr Empfang führt sein Gespräch zu Ende.	En unos segundos quien llama tiene a alguien al teléfono que entiende la pregunta y anota la matrícula. Tu mecánico no suelta la llave y tu mostrador termina su conversación.
De calculatie wacht op foto's die er niet zijn.	Le chiffrage attend des photos qui n'existent pas.	The estimate waits on photos that are not there.	Die Kalkulation wartet auf Fotos, die es nicht gibt.	La valoración espera fotos que no existen.
De cijfers hierboven zijn een voorbeeld van hoe het scherm eruitziet, geen resultaat van een klant. Zodra de eerste pilot gemeten is, staan de echte cijfers op	Les chiffres ci-dessus illustrent l'apparence de l'écran, ce n'est pas le résultat d'un client. Dès que le premier pilote sera mesuré, les vrais chiffres figureront sur	The figures above are an example of what the screen looks like, not a customer result. As soon as the first pilot has been measured, the real numbers will be on	Die Zahlen oben sind ein Beispiel dafür, wie der Bildschirm aussieht, kein Kundenergebnis. Sobald der erste Pilot gemessen ist, stehen die echten Zahlen auf	Las cifras de arriba son un ejemplo de cómo se ve la pantalla, no el resultado de un cliente. En cuanto midamos el primer piloto, las cifras reales estarán en
De cijfers per maand	Les chiffres du mois	The monthly figures	Die Zahlen pro Monat	Las cifras del mes
De drempel voor je duurste klussen.	Le frein à vos interventions les plus rentables.	The barrier to your most expensive jobs.	Die Hürde für Ihre teuersten Arbeiten.	La barrera de tus trabajos más caros.
De echte getallen van voor we begonnen.	Les vrais chiffres d'avant notre arrivée.	The real numbers from before we started.	Die echten Zahlen von vor unserem Start.	Las cifras reales de antes de empezar.
De eerste dag bepaalt waar de auto gerepareerd wordt.	Le premier jour détermine où la voiture sera réparée.	The first day decides where the car gets repaired.	Der erste Tag entscheidet, wo das Auto repariert wird.	El primer día decide dónde se repara el coche.
De eerste drie lagen kun je bij tientallen leveranciers kopen. De laatste twee bepalen of er ook werkelijk iets verandert in je werkplaats.	Les trois premières couches, vous pouvez les acheter chez des dizaines de fournisseurs. Les deux dernières déterminent si quelque chose change vraiment dans votre atelier.	You can buy the first three layers from dozens of suppliers. The last two decide whether anything actually changes in your workshop.	Die ersten drei Schichten können Sie bei Dutzenden Anbietern kaufen. Die letzten beiden entscheiden, ob sich in Ihrer Werkstatt wirklich etwas ändert.	Las tres primeras capas las puedes comprar a decenas de proveedores. Las dos últimas deciden si de verdad cambia algo en tu taller.
De eerste garages bepalen welke koppeling er als eerste af is.	Les premiers garages décident quelle intégration sera prête en premier.	The first garages decide which integration is finished first.	Die ersten Werkstätten bestimmen, welche Anbindung zuerst fertig ist.	Los primeros talleres deciden qué integración se termina primero.
De eerste tien minuten na een aanrijding.	Les dix premières minutes après un accrochage.	The first ten minutes after a collision.	Die ersten zehn Minuten nach einem Unfall.	Los primeros diez minutos después de un golpe.
De eerste vraag is of iedereen ongedeerd is en of de auto nog rijdt. Dat bepaalt of er een berger nodig is of een afspraak volstaat.	La première question est de savoir si tout le monde est indemne et si la voiture roule encore. Cela détermine s'il faut une dépanneuse ou si un rendez-vous suffit.	The first question is whether everyone is unhurt and whether the car still drives. That decides whether a recovery truck is needed or an appointment will do.	Die erste Frage ist, ob alle unverletzt sind und ob das Auto noch fährt. Das entscheidet, ob ein Abschleppwagen nötig ist oder ein Termin reicht.	La primera pregunta es si todo el mundo está ileso y si el coche todavía circula. Eso decide si hace falta una grúa o basta con una cita.
De eigenaar zelf	Le patron lui-même	The owner himself	Der Inhaber selbst	El propio dueño
De garage die wel belt, wint. Niet omdat hij beter is, maar omdat hij eerder was.	Le garage qui appelle, lui, gagne. Pas parce qu'il est meilleur, mais parce qu'il était là avant.	The garage that does call wins. Not because it is better, but because it was there first.	Die Werkstatt, die anruft, gewinnt. Nicht weil sie besser ist, sondern weil sie früher dran war.	El taller que sí llama gana. No porque sea mejor, sino porque llegó antes.
De gemiste oproep wordt opgemerkt	L'appel manqué est détecté	The missed call is noticed	Der verpasste Anruf wird bemerkt	Se detecta la llamada perdida
De helft van de week telt niet mee.	La moitié de la semaine ne compte pas.	Half the week does not count.	Die halbe Woche zählt nicht mit.	Media semana no cuenta.
De juiste duur erbij	La bonne durée avec	The right duration with it	Die richtige Dauer dazu	Con la duración correcta
De juiste klus en duur	La bonne intervention et la bonne durée	The right job and duration	Die richtige Arbeit und Dauer	El trabajo y la duración correctos
De kentekenkoppeling staat op	L'intégration des plaques figure sur	The registration integration is on	Die Kennzeichen-Anbindung steht auf	La integración de matrículas está en
De keuring is het begin, niet het eind	Le contrôle est le début, pas la fin	The inspection is the beginning, not the end	Die Untersuchung ist der Anfang, nicht das Ende	La inspección es el principio, no el final
De keuring komt in de planning met de juiste tijdsduur.	Le contrôle entre dans le planning avec la bonne durée.	The inspection goes into the planning with the right duration.	Die Untersuchung kommt mit der richtigen Dauer in die Planung.	La inspección entra en el planning con la duración correcta.
De klant	Le client	The customer	Der Kunde	El cliente
De klant haakt niet af tijdens het wachten	Le client ne décroche pas pendant l'attente	The customer does not drop out while waiting	Der Kunde springt beim Warten nicht ab	El cliente no se cae durante la espera
De klant hoeft niets uit te leggen	Le client n'a rien à expliquer	The customer has nothing to explain	Der Kunde muss nichts erklären	El cliente no tiene que explicar nada
De klant hoort het, ook als het slecht nieuws is	Le client est informé, même quand la nouvelle est mauvaise	The customer hears it, even when it is bad news	Der Kunde erfährt es, auch wenn es schlechte Nachrichten sind	El cliente se entera, también si es mala noticia
De klant rijdt door met een probleem en komt met pech terug bij iemand anders.	Le client continue de rouler avec un problème et revient en panne chez quelqu'un d'autre.	The customer drives on with a problem and comes back broken down at someone else.	Der Kunde fährt mit einem Problem weiter und landet mit einer Panne bei jemand anderem.	El cliente sigue conduciendo con un problema y vuelve averiado a otro sitio.
De klant stuurt foto's van de schade, het hele voertuig en de kilometerstand. Via WhatsApp is dat voor de meeste mensen de makkelijkste stap van het hele proces.	Le client envoie des photos des dégâts, du véhicule entier et du kilométrage. Par WhatsApp, c'est pour la plupart des gens l'étape la plus simple de tout le processus.	The customer sends photos of the damage, the whole vehicle and the mileage. Over WhatsApp that is, for most people, the easiest step in the entire process.	Der Kunde schickt Fotos des Schadens, des ganzen Fahrzeugs und des Kilometerstands. Über WhatsApp ist das für die meisten Menschen der einfachste Schritt des ganzen Ablaufs.	El cliente envía fotos del daño, del vehículo entero y del kilometraje. Por WhatsApp es, para la mayoría, el paso más fácil de todo el proceso.
De klant van vorig jaar heeft geen klacht en is niet boos. Hij is je gewoon vergeten, en rijdt door tot er iets kapotgaat. Dan belt hij degene die het dichtst bij is of die hem het laatst iets stuurde.	Le client de l'an dernier n'a aucune plainte et n'est pas fâché. Il vous a simplement oublié et roule jusqu'à ce que quelque chose casse. Il appelle alors le plus proche, ou celui qui lui a écrit en dernier.	Last year's customer has no complaint and is not angry. He has simply forgotten you, and drives on until something breaks. Then he calls whoever is nearest, or whoever wrote to him last.	Der Kunde von letztem Jahr hat keine Beschwerde und ist nicht verärgert. Er hat Sie einfach vergessen und fährt weiter, bis etwas kaputtgeht. Dann ruft er den an, der am nächsten ist oder der ihm zuletzt geschrieben hat.	El cliente del año pasado no tiene ninguna queja y no está enfadado. Sencillamente te ha olvidado y sigue conduciendo hasta que algo se rompe. Entonces llama al que tiene más cerca o al que le escribió por última vez.
De klant van vorig jaar komt niet terug	Le client de l'an dernier ne revient pas	Last year's customer does not come back	Der Kunde von letztem Jahr kommt nicht zurück	El cliente del año pasado no vuelve
De klant vraagt wat het kost en wanneer het kan. Je balie moet eerst de prijs opzoeken, dan de levertijd, dan terugbellen, en dan blijkt de klant in een vergadering te zitten. Dat heen en weer is het werk, niet de reparatie.	Le client demande le prix et la date possible. Votre comptoir doit d'abord chercher le prix, puis le délai, puis rappeler, et là le client est en réunion. Ce va-et-vient, c'est ça le travail, pas la réparation.	The customer asks what it costs and when it can be done. Your front desk first has to look up the price, then the delivery time, then call back, and then the customer turns out to be in a meeting. That back and forth is the work, not the repair.	Der Kunde fragt, was es kostet und wann es geht. Ihr Empfang muss erst den Preis nachschlagen, dann die Lieferzeit, dann zurückrufen, und dann sitzt der Kunde in einer Besprechung. Dieses Hin und Her ist die Arbeit, nicht die Reparatur.	El cliente pregunta cuánto cuesta y cuándo puede ser. Tu mostrador primero tiene que buscar el precio, luego el plazo, luego devolver la llamada, y entonces resulta que el cliente está en una reunión. Ese ir y venir es el trabajo, no la reparación.
De klant weet waar hij aan toe is voor hij belt.	Le client sait à quoi s'en tenir avant même d'appeler.	The customer knows where he stands before he calls.	Der Kunde weiß, woran er ist, bevor er anruft.	El cliente sabe a qué atenerse antes de llamar.
De klant zegt	Le client dit	The customer says	Der Kunde sagt	El cliente dice
De laag waarin je meeleest, goedkeurt en vragen stelt in gewone taal. Faro is niet het product, Faro is hoe je het bedient.	La couche où vous lisez, validez et posez des questions en langage courant. Faro n'est pas le produit, Faro est la manière dont vous le pilotez.	The layer where you read along, approve and ask questions in plain language. Faro is not the product, Faro is how you operate it.	Die Schicht, in der Sie mitlesen, freigeben und Fragen in normaler Sprache stellen. Faro ist nicht das Produkt, Faro ist die Art, wie Sie es bedienen.	La capa en la que lees, apruebas y preguntas en lenguaje normal. Faro no es el producto, Faro es cómo lo manejas.
De leenauto wordt vastgelegd bij de werkplaatsafspraak, niet los. Daardoor kan hij niet per ongeluk dubbel gaan.	Le véhicule de courtoisie est réservé avec le rendez-vous d'atelier, pas séparément. Il ne peut donc pas être attribué deux fois par erreur.	The courtesy car is booked with the workshop appointment, not separately. That way it cannot accidentally be double-booked.	Der Ersatzwagen wird zusammen mit dem Werkstatttermin festgehalten, nicht getrennt. Dadurch kann er nicht versehentlich doppelt vergeben werden.	El coche de cortesía se reserva junto con la cita de taller, no aparte. Así no puede duplicarse por error.
De lijst komt eruit	La liste sort	The list comes out	Die Liste kommt heraus	Sale la lista
De lijst wordt elke week bekeken	La liste est passée en revue chaque semaine	The list gets reviewed every week	Die Liste wird jede Woche durchgesehen	La lista se repasa cada semana
De marge die al in huis was.	La marge qui était déjà dans la maison.	The margin that was already in the building.	Die Marge, die schon im Haus war.	El margen que ya estaba en casa.
De meeste boekingssystemen zetten een klant in een vakje van een uur, ongeacht of het een bandenwissel is of een distributieriem. Daarna mag je werkplaatschef het rechtzetten. Deze agent weet hoelang een klus duurt voor hij iets belooft.	La plupart des systèmes de réservation placent un client dans une case d'une heure, qu'il s'agisse d'un changement de pneus ou d'une courroie de distribution. Ensuite, c'est à votre chef d'atelier de rectifier. Cet agent sait combien de temps dure une intervention avant de promettre quoi que ce soit.	Most booking systems put a customer in a one-hour box, whether it is a tyre change or a timing belt. Then your workshop manager gets to put it right. This agent knows how long a job takes before it promises anything.	Die meisten Buchungssysteme setzen einen Kunden in ein Ein-Stunden-Kästchen, egal ob es ein Reifenwechsel oder ein Zahnriemen ist. Danach darf Ihr Werkstattleiter es geradebiegen. Dieser Agent weiß, wie lange eine Arbeit dauert, bevor er etwas zusagt.	La mayoría de los sistemas de reservas mete al cliente en una casilla de una hora, sea un cambio de neumáticos o una correa de distribución. Después le toca a tu jefe de taller arreglarlo. Este agente sabe cuánto dura un trabajo antes de prometer nada.
De meeste garages starten zo. Een koppeling maakt het mooier, geen enkele werkstroom hangt erop te wachten.	La plupart des garages démarrent ainsi. Une intégration rend les choses plus élégantes, mais aucun flux ne l'attend pour fonctionner.	Most garages start this way. An integration makes it neater, but no workflow is waiting on it.	Die meisten Werkstätten starten so. Eine Anbindung macht es schöner, aber kein einziger Ablauf wartet darauf.	La mayoría de los talleres empieza así. Una integración lo hace más elegante, pero ningún flujo está esperando a eso.
