# nederlands	frans	engels	duits	spaans
Voor autobedrijven	Pour les concessions	For dealerships	Für Autohäuser	Para concesionarios
WhatsApp heeft eigen regels over wie je wanneer mag aanschrijven. We houden ons daaraan, ook als dat betekent dat iets niet kan.	WhatsApp a ses propres règles sur qui l'on peut contacter et quand. Nous les respectons, même si cela signifie que quelque chose n'est pas possible.	WhatsApp has its own rules about who you may message and when. We stick to them, also when that means something is not possible.	WhatsApp hat eigene Regeln, wen man wann anschreiben darf. Daran halten wir uns, auch wenn das heißt, dass etwas nicht geht.	WhatsApp tiene sus propias normas sobre a quién puedes escribir y cuándo. Las cumplimos, también cuando eso significa que algo no se puede.
WhatsApp is geen los product maar hetzelfde systeem op een ander kanaal. Dezelfde koper, dezelfde wagen, hetzelfde dossier.	WhatsApp n'est pas un produit à part mais le même système sur un autre canal. Même acheteur, même véhicule, même dossier.	WhatsApp is not a separate product but the same system on another channel. Same buyer, same vehicle, same file.	WhatsApp ist kein eigenes Produkt, sondern dasselbe System auf einem anderen Kanal. Derselbe Käufer, dasselbe Fahrzeug, dieselbe Akte.	WhatsApp no es un producto aparte sino el mismo sistema en otro canal. El mismo comprador, el mismo vehículo, el mismo expediente.
WhatsApp is het kanaal waarop kopers het snelst antwoorden. In de meeste autobedrijven staat het op de privételefoon van één verkoper, en daarmee is het klantcontact van die verkoper en niet van het bedrijf.	WhatsApp est le canal sur lequel les acheteurs répondent le plus vite. Dans la plupart des concessions, il est sur le portable privé d'un vendeur, et le contact client appartient donc à ce vendeur et non à l'entreprise.	WhatsApp is the channel buyers answer fastest on. At most dealerships it sits on one salesperson's private phone, which makes the customer contact theirs rather than the company's.	WhatsApp ist der Kanal, auf dem Käufer am schnellsten antworten. In den meisten Autohäusern liegt er auf dem Privathandy eines Verkäufers, und damit gehört der Kundenkontakt diesem Verkäufer und nicht dem Betrieb.	WhatsApp es el canal en el que los compradores responden más rápido. En la mayoría de los concesionarios está en el móvil privado de un vendedor, y así el contacto con el cliente es de ese vendedor y no de la empresa.
WhatsApp zit meestal op de telefoon van één verkoper. Is hij vrij, dan ligt het gesprek stil. Gaat hij weg, dan gaat het klantcontact mee.	WhatsApp se trouve généralement sur le portable d'un seul vendeur. S'il est en congé, la conversation s'arrête. S'il s'en va, le contact client part avec lui.	WhatsApp usually sits on one salesperson's phone. If they are off, the conversation stalls. If they leave, the customer contact goes with them.	WhatsApp liegt meist auf dem Handy eines einzigen Verkäufers. Hat er frei, steht das Gespräch still. Geht er, geht der Kundenkontakt mit.	WhatsApp suele estar en el móvil de un solo vendedor. Si libra, la conversación se para. Si se va, el contacto con el cliente se va con él.
WhatsApp · dinsdagavond	WhatsApp · mardi soir	WhatsApp · Tuesday evening	WhatsApp · Dienstagabend	WhatsApp · martes por la tarde
WhatsApp · drie dagen na het eerste gesprek	WhatsApp · trois jours après la première conversation	WhatsApp · three days after the first conversation	WhatsApp · drei Tage nach dem ersten Gespräch	WhatsApp · tres días después de la primera conversación
WhatsApp · na een bezichtigingsaanvraag	WhatsApp · après une demande de visite	WhatsApp · after a viewing request	WhatsApp · nach einer Besichtigungsanfrage	WhatsApp · tras una solicitud de visita
WhatsApp · vanaf een advertentie	WhatsApp · depuis une annonce	WhatsApp · from an advert	WhatsApp · von einer Anzeige aus	WhatsApp · desde un anuncio
WhatsApp · woensdag 21:43	WhatsApp · mercredi 21:43	WhatsApp · Wednesday 21:43	WhatsApp · Mittwoch 21:43	WhatsApp · miércoles 21:43
Wie achter het stuur zit, koopt vaker. Een afspraak die niet bevestigd wordt of waarvoor de wagen niet klaarstaat, is een verloren verkoopgesprek.	Celui qui est au volant achète plus souvent. Un rendez-vous non confirmé ou pour lequel le véhicule n'est pas prêt est un entretien de vente perdu.	Whoever sits behind the wheel buys more often. An appointment that is not confirmed or for which the vehicle is not ready is a lost sales conversation.	Wer hinterm Steuer sitzt, kauft öfter. Ein Termin, der nicht bestätigt wird oder für den das Fahrzeug nicht bereitsteht, ist ein verlorenes Verkaufsgespräch.	Quien se pone al volante compra más a menudo. Una cita que no se confirma o para la que el vehículo no está listo es una conversación de venta perdida.
Wie achter het stuur zit, koopt vaker. Toch gaat het vaakst mis bij het plannen ervan: de wagen staat er niet, er is niemand vrij, of het heen en weer duurt zo lang dat de koper afhaakt.	Celui qui est au volant achète plus souvent. Pourtant, c'est la planification qui échoue le plus souvent : le véhicule n'est pas là, personne n'est libre, ou les allers-retours durent si longtemps que l'acheteur abandonne.	Whoever sits behind the wheel buys more often. Yet the scheduling is where it goes wrong most: the vehicle is not there, nobody is free, or the back and forth takes so long the buyer drops out.	Wer hinterm Steuer sitzt, kauft öfter. Trotzdem geht es beim Planen am häufigsten schief: Das Fahrzeug steht nicht da, niemand ist frei, oder das Hin und Her dauert so lange, dass der Käufer abspringt.	Quien se pone al volante compra más a menudo. Aun así, lo que más falla es la planificación: el vehículo no está, no hay nadie libre, o el ir y venir dura tanto que el comprador abandona.
Wie als eerste antwoordt, verkoopt.	Celui qui répond le premier vend.	Whoever answers first, sells.	Wer zuerst antwortet, verkauft.	Quien responde primero, vende.
Wie antwoordt er als eerste?	Qui répond en premier ?	Who answers first?	Wer antwortet zuerst?	¿Quién responde primero?
Wie genoeg aanvragen krijgt, maar er te weinig van omzet	Ceux qui reçoivent assez de demandes mais en convertissent trop peu	Those who get enough enquiries but convert too few of them	Wer genug Anfragen bekommt, aber zu wenige davon umsetzt	Quien recibe bastantes solicitudes pero convierte muy pocas
Wie het is, welke auto, welk budget, welke termijn, of er een inruil bij zit. Wat de koper zegt, komt in het dossier. Wat hij niet zegt, wordt niet verzonnen.	Qui c'est, quelle voiture, quel budget, quelle durée, s'il y a une reprise. Ce que l'acheteur dit va dans le dossier. Ce qu'il ne dit pas n'est pas inventé.	Who it is, which car, what budget, what term, whether a trade-in is involved. What the buyer says goes into the file. What they do not say is not invented.	Wer es ist, welches Auto, welches Budget, welche Laufzeit, ob eine Inzahlungnahme dabei ist. Was der Käufer sagt, kommt in die Akte. Was er nicht sagt, wird nicht erfunden.	Quién es, qué coche, qué presupuesto, qué plazo, si hay entrega. Lo que dice el comprador va al expediente. Lo que no dice no se inventa.
Wie kan de gesprekken lezen?	Qui peut lire les conversations ?	Who can read the conversations?	Wer kann die Gespräche lesen?	¿Quién puede leer las conversaciones?
Wie naar een maandbedrag vraagt, denkt al na over bezit. Toch is dit de vraag waar het gesprek het vaakst op stilvalt, omdat niemand er zonder voorbehoud iets over durft te zeggen.	Celui qui demande une mensualité pense déjà à la propriété. C'est pourtant la question sur laquelle la conversation s'arrête le plus souvent, parce que personne n'ose en parler sans réserve.	Anyone asking for a monthly figure is already thinking about ownership. Yet this is the question the conversation stalls on most, because nobody dares say anything about it without a caveat.	Wer nach einer Monatsrate fragt, denkt schon über Besitz nach. Trotzdem ist das die Frage, an der das Gespräch am häufigsten stockt, weil niemand dazu etwas ohne Vorbehalt sagen mag.	Quien pregunta por una cuota mensual ya está pensando en la propiedad. Y sin embargo es la pregunta en la que la conversación se atasca más, porque nadie se atreve a decir nada sin reservas.
Wie niet kan, krijgt twee alternatieven. Een verzette afspraak is werk dat behouden blijft.	Celui qui ne peut pas reçoit deux alternatives. Un rendez-vous déplacé, c'est du travail qui reste acquis.	Anyone who cannot make it gets two alternatives. A rescheduled appointment is work you keep.	Wer nicht kann, bekommt zwei Alternativen. Ein verlegter Termin ist Arbeit, die erhalten bleibt.	Quien no puede recibe dos alternativas. Una cita cambiada es trabajo que se conserva.
Wie nog geen model op het oog heeft, is de makkelijkste koper om te helpen en de makkelijkste om te verliezen.	Celui qui n'a pas encore de modèle en tête est l'acheteur le plus facile à aider et le plus facile à perdre.	Someone with no model in mind yet is the easiest buyer to help and the easiest to lose.	Wer noch kein Modell im Blick hat, ist der Käufer, dem man am leichtesten hilft, und der, den man am leichtesten verliert.	Quien todavía no tiene un modelo en mente es el comprador más fácil de ayudar y el más fácil de perder.
Wie op dag drie een kort bericht stuurt met de juiste wagen erbij, haalt een deel van die kopers terug. Dat gebeurt bijna nergens, en dat is precies waarom het werkt.	Celui qui envoie au troisième jour un court message avec le bon véhicule récupère une partie de ces acheteurs. Cela ne se fait presque nulle part, et c'est précisément pourquoi cela fonctionne.	Whoever sends a short message on day three with the right vehicle attached wins some of those buyers back. That happens almost nowhere, and that is exactly why it works.	Wer am dritten Tag eine kurze Nachricht mit dem richtigen Fahrzeug schickt, holt einen Teil dieser Käufer zurück. Das passiert fast nirgends, und genau deshalb wirkt es.	Quien manda el tercer día un mensaje corto con el vehículo correcto recupera a parte de esos compradores. Eso casi no lo hace nadie, y justo por eso funciona.
Wie overneemt, ziet het hele gesprek. De koper merkt de wissel niet.	Celui qui reprend la main voit toute la conversation. L'acheteur ne remarque pas le changement.	Whoever takes over sees the whole conversation. The buyer does not notice the switch.	Wer übernimmt, sieht das ganze Gespräch. Der Käufer merkt den Wechsel nicht.	Quien toma el relevo ve toda la conversación. El comprador no nota el cambio.
Wie zijn auto bij jou inruilt, koopt er bijna altijd ook één. Elke inruilvraag die doodloopt op het uitvragen, kost je twee marges tegelijk.	Celui qui vous reprend sa voiture en achète presque toujours une aussi. Chaque demande de reprise qui meurt au stade des questions vous coûte deux marges d'un coup.	Anyone trading their car in with you almost always buys one too. Every trade-in question that dies at the asking stage costs you two margins at once.	Wer sein Auto bei Ihnen in Zahlung gibt, kauft fast immer auch eines. Jede Inzahlungnahmefrage, die beim Abfragen versandet, kostet Sie zwei Margen auf einmal.	Quien te entrega su coche casi siempre compra uno también. Cada pregunta de tasación que muere en la fase de preguntas te cuesta dos márgenes a la vez.
Wil hij verder op WhatsApp, dan gaat het gesprek mee. Met de wagen en alles wat al gezegd is.	S'il veut poursuivre sur WhatsApp, la conversation suit. Avec le véhicule et tout ce qui a déjà été dit.	If they want to continue on WhatsApp, the conversation comes along. With the vehicle and everything already said.	Will er auf WhatsApp weitermachen, geht das Gespräch mit. Mit dem Fahrzeug und allem, was schon gesagt wurde.	Si quiere seguir por WhatsApp, la conversación va con él. Con el vehículo y todo lo ya dicho.
Wil je hem komen bekijken? Donderdag om 17:00 of zaterdag om 11:30 kan.	Voulez-vous venir le voir ? Jeudi à 17:00 ou samedi à 11:30, c'est possible.	Would you like to come and see it? Thursday at 17:00 or Saturday at 11:30 works.	Möchten Sie ihn ansehen kommen? Donnerstag um 17:00 oder Samstag um 11:30 geht.	¿Quieres venir a verlo? El jueves a las 17:00 o el sábado a las 11:30 puede ser.
Wisselt hij van kanaal, dan begint hij niet opnieuw.	S'il change de canal, il ne repart pas de zéro.	If they switch channel, they do not start over.	Wechselt er den Kanal, fängt er nicht von vorn an.	Si cambia de canal, no empieza de nuevo.
Wordt iedereen om gegevens gevraagd?	Demande-t-on ses coordonnées à tout le monde ?	Is everyone asked for their details?	Wird jeder nach Daten gefragt?	¿Se le piden datos a todo el mundo?
Wordt onze site trager?	Notre site devient-il plus lent ?	Does our site get slower?	Wird unsere Website langsamer?	¿Nuestra web se vuelve más lenta?
Zaterdag 10:00 · Golf GTI 2022 · rijbewijs meenemen	Samedi 10:00 · Golf GTI 2022 · apporter le permis	Saturday 10:00 · Golf GTI 2022 · bring driving licence	Samstag 10:00 · Golf GTI 2022 · Führerschein mitbringen	Sábado 10:00 · Golf GTI 2022 · traer el carné
Zaterdag 10:00 · Golf GTI · bevestiging verstuurd	Samedi 10:00 · Golf GTI · confirmation envoyée	Saturday 10:00 · Golf GTI · confirmation sent	Samstag 10:00 · Golf GTI · Bestätigung gesendet	Sábado 10:00 · Golf GTI · confirmación enviada
Zaterdag 10:00.	Samedi 10:00.	Saturday 10:00.	Samstag 10:00.	Sábado 10:00.
Zaterdag 14:00	Samedi 14:00	Saturday 14:00	Samstag 14:00	Sábado 14:00
Zaterdag 14:00 zet ik voor je vast. Tot dan.	Je vous réserve samedi 14:00. À bientôt.	I'll pin down Saturday 14:00 for you. See you then.	Samstag 14:00 mache ich für Sie fest. Bis dann.	Te fijo el sábado a las 14:00. Hasta entonces.
Zaterdag 14:00 · BMW X5 xDrive30d · dossier aangemaakt	Samedi 14:00 · BMW X5 xDrive30d · dossier créé	Saturday 14:00 · BMW X5 xDrive30d · file created	Samstag 14:00 · BMW X5 xDrive30d · Akte angelegt	Sábado 14:00 · BMW X5 xDrive30d · expediente creado
Zaterdag 14:00 · bezichtiging · inruil bekend	Samedi 14:00 · visite · reprise connue	Saturday 14:00 · viewing · trade-in known	Samstag 14:00 · Besichtigung · Inzahlungnahme bekannt	Sábado 14:00 · visita · entrega conocida
Zaterdag kan om 10:00 of om 13:30. Neem je rijbewijs mee.	Samedi, 10:00 ou 13:30 est possible. Apportez votre permis.	Saturday works at 10:00 or 13:30. Bring your driving licence.	Samstag geht 10:00 oder 13:30. Bringen Sie Ihren Führerschein mit.	El sábado puede ser a las 10:00 o a las 13:30. Trae tu carné.
Zaterdag kan om 11:00 of om 14:00. Wat past het beste?	Samedi, 11:00 ou 14:00 est possible. Qu'est-ce qui vous convient le mieux ?	Saturday works at 11:00 or 14:00. Which suits you best?	Samstag geht 11:00 oder 14:00. Was passt am besten?	El sábado puede ser a las 11:00 o a las 14:00. ¿Qué te viene mejor?
Zaterdag kan.	Samedi, c'est possible.	Saturday works.	Samstag geht.	El sábado puede ser.
Zaterdag zou goed uitkomen	Samedi m'arrangerait	Saturday would suit me	Samstag würde gut passen	El sábado me vendría bien
Zaterdag zou goed uitkomen.	Samedi m'arrangerait.	Saturday would suit me.	Samstag würde gut passen.	El sábado me vendría bien.
Ze worden aan het eind van de middag beantwoord. Twee van de drie reageren dan niet meer.	On y répond en fin d'après-midi. Deux sur trois ne réagissent alors plus.	They get answered at the end of the afternoon. Two out of three no longer respond by then.	Sie werden am späten Nachmittag beantwortet. Zwei von dreien reagieren dann nicht mehr.	Se responden al final de la tarde. Para entonces dos de cada tres ya no contestan.
Ze worden binnen de EU verwerkt en alleen gebruikt om aanvragen te beantwoorden. Details staan in het	Elles sont traitées au sein de l'UE et utilisées uniquement pour répondre aux demandes. Les détails figurent dans la	They are processed inside the EU and used only to answer enquiries. Details are in the	Sie werden innerhalb der EU verarbeitet und nur genutzt, um Anfragen zu beantworten. Einzelheiten stehen in der	Se tratan dentro de la UE y se usan solo para responder solicitudes. Los detalles están en la
Zeg het in het eerste gesprek. We vertellen eerlijk of het vandaag kan, hoe je begint met wat er wel is, en wanneer er meer in zit.	Dites-le lors du premier échange. Nous vous dirons honnêtement si c'est possible aujourd'hui, comment démarrer avec ce qui existe, et quand il y aura plus.	Say so in the first conversation. We will tell you honestly whether it is possible today, how you start with what does exist, and when more is coming.	Sagen Sie es im ersten Gespräch. Wir sagen Ihnen ehrlich, ob es heute geht, wie Sie mit dem Vorhandenen starten und wann mehr drin ist.	Dilo en la primera conversación. Te diremos con honestidad si hoy se puede, cómo empiezas con lo que sí hay, y cuándo habrá más.
Zeker, dat kijkt een verkoper na. Wat rijd je nu?	Bien sûr, un vendeur vérifiera cela. Que conduisez-vous actuellement ?	Certainly, a salesperson will check that. What do you drive now?	Sicher, das sieht ein Verkäufer nach. Was fahren Sie jetzt?	Claro, eso lo mira un vendedor. ¿Qué conduces ahora?
Zelfde koper · zelfde wagen · geen herhaling	Même acheteur · même véhicule · pas de répétition	Same buyer · same vehicle · no repetition	Derselbe Käufer · dasselbe Fahrzeug · keine Wiederholung	Mismo comprador · mismo vehículo · sin repetición
Zes momenten op één donderdag. Geen ervan gaat over te weinig belangstelling, en geen ervan is op te lossen door harder te werken.	Six moments en un seul jeudi. Aucun ne concerne un manque d'intérêt, et aucun ne se règle en travaillant plus dur.	Six moments on a single Thursday. None of them is about too little interest, and none of them can be fixed by working harder.	Sechs Momente an einem einzigen Donnerstag. Keiner davon handelt von zu wenig Interesse, und keiner löst sich durch härteres Arbeiten.	Seis momentos en un solo jueves. Ninguno va de falta de interés, y ninguno se arregla trabajando más duro.
Zet de bezichtiging om in een proefrit met een tijdslot.	Transforme la visite en essai avec un créneau.	Turns the viewing into a test drive with a slot.	Macht aus der Besichtigung eine Probefahrt mit Zeitfenster.	Convierte la visita en una prueba con hueco.
Zet de gekozen wagen om in een rit.	Transforme le véhicule choisi en essai.	Turns the chosen vehicle into a drive.	Macht aus dem gewählten Fahrzeug eine Fahrt.	Convierte el vehículo elegido en una prueba.
Zet de teruggehaalde koper om in een rit.	Transforme l'acheteur récupéré en essai.	Turns the recovered buyer into a drive.	Macht aus dem zurückgeholten Käufer eine Fahrt.	Convierte al comprador recuperado en una prueba.
Zet het gesprek door naar WhatsApp wanneer de koper dat wil.	Bascule la conversation vers WhatsApp quand l'acheteur le souhaite.	Passes the conversation on to WhatsApp when the buyer wants that.	Leitet das Gespräch an WhatsApp weiter, wenn der Käufer das will.	Pasa la conversación a WhatsApp cuando el comprador lo quiere.
Zien jullie onze hele agenda?	Voyez-vous tout notre agenda ?	Do you see our whole calendar?	Sehen Sie unseren ganzen Kalender?	¿Veis toda nuestra agenda?
Ziet de klant dat het geen mens is?	Le client voit-il que ce n'est pas un humain ?	Does the customer see it is not a person?	Sieht der Kunde, dass es kein Mensch ist?	¿Ve el cliente que no es una persona?
Zijn auto is voor hem geen bijzaak. Er meteen naar vragen scheelt argwaan later in het gesprek.	Sa voiture n'est pas un détail pour lui. En parler tout de suite évite la méfiance plus tard dans la conversation.	Their car is no side issue to them. Asking about it straight away saves suspicion later in the conversation.	Sein Auto ist für ihn keine Nebensache. Gleich danach zu fragen erspart Misstrauen später im Gespräch.	Su coche no es un detalle menor para él. Preguntar por él enseguida evita desconfianza más tarde en la conversación.
Zo blijft de context bewaard	Ainsi, le contexte est conservé	That way the context is kept	So bleibt der Zusammenhang erhalten	Así se conserva el contexto
Zodra een koper serieus wordt over een wagen, komt de vraag of hij zijn huidige auto kan inruilen. Daar wordt op ingegaan in plaats van omheen.	Dès qu'un acheteur devient sérieux sur un véhicule, la question de la reprise de sa voiture actuelle arrive. On y répond au lieu de la contourner.	As soon as a buyer gets serious about a vehicle, the question comes whether they can trade in their current car. That gets addressed rather than sidestepped.	Sobald ein Käufer bei einem Fahrzeug ernst wird, kommt die Frage, ob er sein jetziges Auto in Zahlung geben kann. Darauf wird eingegangen, statt darum herum.	En cuanto un comprador se pone serio con un vehículo, llega la pregunta de si puede entregar su coche actual. Se entra en ello en lugar de esquivarlo.
Zoeken in jouw voorraad	Chercher dans votre stock	Searching your stock	In Ihrem Bestand suchen	Buscar en tu stock
Zoeken op budget, carrosserie, brandstof en kilometers	Chercher par budget, carrosserie, carburant et kilométrage	Searching on budget, body style, fuel and mileage	Nach Budget, Karosserie, Kraftstoff und Kilometern suchen	Buscar por presupuesto, carrocería, combustible y kilómetros
Zoeken op eisen	Chercher par critères	Searching on requirements	Nach Anforderungen suchen	Buscar por requisitos
Zoeken, een paar wagens tonen en het verschil uitleggen.	Chercher, montrer quelques véhicules et expliquer la différence.	Searching, showing a few vehicles and explaining the difference.	Suchen, ein paar Fahrzeuge zeigen und den Unterschied erklären.	Buscar, mostrar unos cuantos vehículos y explicar la diferencia.
Zoekt die wagen op en antwoordt met de gegevens.	Recherche ce véhicule et répond avec les données.	Looks that vehicle up and answers with the data.	Sucht dieses Fahrzeug heraus und antwortet mit den Daten.	Busca ese vehículo y responde con los datos.
Zonder gegevens vooraf kan niemand daar iets zinnigs over zeggen. Er komt een voorzichtige uitspraak, de koper vindt die te laag, en de goede sfeer is weg.	Sans données préalables, personne ne peut dire quoi que ce soit de sensé. Une estimation prudente sort, l'acheteur la trouve trop basse, et la bonne ambiance s'envole.	Without data up front nobody can say anything sensible about it. A cautious figure comes out, the buyer finds it too low, and the good mood is gone.	Ohne vorherige Daten kann niemand dazu etwas Sinnvolles sagen. Es kommt eine vorsichtige Aussage, der Käufer findet sie zu niedrig, und die gute Stimmung ist weg.	Sin datos de antemano nadie puede decir nada sensato. Sale una cifra prudente, al comprador le parece baja, y el buen ambiente se ha ido.
Zonder je voorraad	Sans votre stock	Without your stock	Ohne Ihren Bestand	Sin tu stock
als de koper stopt met typen.	quand l'acheteur cesse d'écrire.	when the buyer stops typing.	wenn der Käufer aufhört zu tippen.	cuando el comprador deja de escribir.
brengt een auto mee.	amène une voiture.	brings a car along.	bringt ein Auto mit.	trae un coche.
controle en privacy	contrôle et confidentialité	control and privacy	Kontrolle und Datenschutz	control y privacidad
die er echt toe doet.	qui compte vraiment.	that really matters.	die wirklich zählt.	que de verdad importa.
die jij verkoopt.	que vous vendez.	that you sell.	die Sie verkaufen.	que tú vendes.
geantwoord wordt. Een aanvraag van 21:43 is geen gemiste aanvraag meer, maar een gesprek dat om 21:43 begonnen is.	on répond. Une demande de 21:43 n'est plus une demande manquée, mais une conversation commencée à 21:43.	gets answered. An enquiry from 21:43 is no longer a missed enquiry, but a conversation that started at 21:43.	geantwortet wird. Eine Anfrage von 21:43 ist keine verpasste Anfrage mehr, sondern ein Gespräch, das um 21:43 begonnen hat.	se responde. Una solicitud de las 21:43 ya no es una solicitud perdida, sino una conversación que empezó a las 21:43.
is het een chatbot.	c'est un chatbot.	it is a chatbot.	ist es ein Chatbot.	es un chatbot.
ja nog beschikbaar, zaterdag 14u kan	oui toujours disponible, samedi 14h possible	yes still available, Saturday 2pm works	ja noch verfügbar, Samstag 14 Uhr geht	sí sigue disponible, el sábado a las 14h puede ser
je agenda.	votre agenda.	your calendar.	Ihr Kalender.	tu agenda.
je brutomarge per auto	votre marge brute par voiture	your gross margin per car	Ihre Bruttomarge je Auto	tu margen bruto por coche
komen nog altijd per mail.	arrivent encore par courriel.	still come in by email.	kommen nach wie vor per Mail.	siguen llegando por correo.
niet voor één verkoper.	pas pour un seul vendeur.	not for one salesperson.	nicht für einen Verkäufer.	no para un solo vendedor.
onbeantwoorde aanvragen per week	demandes sans réponse par semaine	unanswered enquiries per week	unbeantwortete Anfragen pro Woche	solicitudes sin responder por semana
op je eigen site.	sur votre propre site.	on your own site.	auf Ihrer eigenen Website.	en tu propia web.
per maand aan teruggewonnen brutomarge	par mois de marge brute récupérée	per month in recovered gross margin	pro Monat an zurückgewonnener Bruttomarge	al mes de margen bruto recuperado
per verkoper per maand	par vendeur et par mois	per salesperson per month	je Verkäufer und Monat	por vendedor y mes
staat per stuk wat er vandaag werkelijk is.	figure, une par une, la réalité d'aujourd'hui.	is, one by one, what actually exists today.	steht Stück für Stück, was es heute wirklich gibt.	está, una a una, lo que existe hoy de verdad.
uit je aanvragen?	de vos demandes ?	out of your enquiries?	aus Ihren Anfragen?	de tus solicitudes?
verkopen per maand	ventes par mois	sales per month	Verkäufe pro Monat	ventas al mes
waar verkopers op de vloer staan.	où les vendeurs sont en showroom.	where salespeople are out on the floor.	wo Verkäufer auf der Fläche stehen.	donde los vendedores están en el salón.
welke auto hij wil.	quelle voiture il veut.	which car they want.	welches Auto er will.	qué coche quiere.
zit nu niemand.	il n'y a personne en ce moment.	there is nobody right now.	sitzt gerade niemand.	ahora mismo no hay nadie.
📅 Bezichtiging zaterdag 14:00 · BMW X5 xDrive30d	📅 Visite samedi 14:00 · BMW X5 xDrive30d	📅 Viewing Saturday 14:00 · BMW X5 xDrive30d	📅 Besichtigung Samstag 14:00 · BMW X5 xDrive30d	📅 Visita sábado 14:00 · BMW X5 xDrive30d
