Gebruikt dezelfde prijzen in de offerte die de deur uitgaat.	Utilise les mêmes prix dans le devis qui part.	Uses the same prices in the quote that goes out.	Verwendet dieselben Preise im Angebot, das rausgeht.	Usa los mismos precios en el presupuesto que sale.
Het rekent met cijfers die jij zelf invult, en met de aanname dat een gemist gesprek dezelfde kans op werk had als een gesprek dat je wel oppakt. Dat klopt in de praktijk nooit precies. Gebruik het om een orde van grootte te zien, niet om een businesscase op te bouwen.	Il calcule à partir des chiffres que vous saisissez vous-même et part du principe qu'un appel manqué avait la même probabilité de déboucher sur du travail qu'un appel que vous prenez. Dans la pratique, ce n'est jamais exact. Servez-vous-en pour voir un ordre de grandeur, pas pour bâtir un dossier d'investissement.	It calculates with figures you enter yourself, and with the assumption that a missed conversation had the same chance of work as one you do pick up. In practice that is never exactly right. Use it to see an order of magnitude, not to build a business case.	Es rechnet mit Zahlen, die Sie selbst eintragen, und mit der Annahme, dass ein verpasstes Gespräch dieselbe Chance auf Arbeit hatte wie eines, das Sie annehmen. In der Praxis stimmt das nie genau. Nutzen Sie es, um eine Größenordnung zu sehen, nicht um einen Businesscase zu bauen.	Calcula con cifras que introduces tú y con la suposición de que una conversación perdida tenía la misma probabilidad de generar trabajo que una que sí atiendes. En la práctica eso nunca es exacto. Úsalo para ver un orden de magnitud, no para construir un caso de negocio.
Het rekenwerk is al gedaan en de prijs is verstuurd. Eén opvolging meer betekent direct marge, want de kosten zitten er al in.	Le calcul est déjà fait et le prix est envoyé. Une relance de plus, c'est de la marge immédiate, car les coûts sont déjà engagés.	The calculation work is already done and the price has been sent. One more follow-up means immediate margin, because the costs are already in there.	Die Rechenarbeit ist schon getan und der Preis ist verschickt. Ein Nachfassen mehr bedeutet direkt Marge, denn die Kosten stecken schon drin.	El trabajo de cálculo ya está hecho y el precio enviado. Un seguimiento más significa margen directo, porque los costes ya están dentro.
Het resultaat	Le résultat	The result	Das Ergebnis	El resultado
Het staat op de lijst.	C'est sur la liste.	It is on the list.	Es steht auf der Liste.	Está en la lista.
Het systeem	Le système	The system	Das System	El sistema
Het systeem aanzetten op één werkstroom en ons vier weken laten meten.	Activer le système sur un seul flux et nous laisser mesurer quatre semaines.	Switching the system on for one workflow and letting us measure for four weeks.	Das System für einen Ablauf einschalten und uns vier Wochen messen lassen.	Encender el sistema en un solo flujo y dejarnos medir cuatro semanas.
Het systeem draait en je kunt er vandaag mee praten	Le système tourne et vous pouvez lui parler dès aujourd'hui	The system is running and you can talk to it today	Das System läuft und Sie können heute damit sprechen	El sistema funciona y puedes hablar con él hoy
Het systeem in detail	Le système en détail	The system in detail	Das System im Detail	El sistema en detalle
Het systeem in één beeld	Le système en une image	The system in one picture	Das System in einem Bild	El sistema en una imagen
Het systeem stelt geen storing vast en geeft geen technisch advies. Dat blijft bij je monteur.	Le système n'établit aucun diagnostic et ne donne pas de conseil technique. Cela reste du ressort de votre mécanicien.	The system does not diagnose a fault and gives no technical advice. That stays with your mechanic.	Das System stellt keine Störung fest und gibt keinen technischen Rat. Das bleibt bei Ihrem Mechaniker.	El sistema no diagnostica averías ni da consejo técnico. Eso queda en manos de tu mecánico.
Het terugbelstapeltje op de toonbank verdwijnt, en daarmee ook het gevoel dat er altijd iets blijft liggen.	La petite pile de rappels sur le comptoir disparaît, et avec elle le sentiment qu'il reste toujours quelque chose en suspens.	The pile of call-backs on the counter disappears, and with it the feeling that something is always left undone.	Der Rückrufstapel auf dem Tresen verschwindet und damit auch das Gefühl, dass immer etwas liegen bleibt.	El montoncito de llamadas pendientes del mostrador desaparece, y con él la sensación de que siempre queda algo sin hacer.
Het uitzoeken en calculeren is gedaan en betaald. Elke offerte die alsnog ja wordt, is bijna volledig marge.	La recherche et le chiffrage sont faits et payés. Chaque devis qui devient finalement oui est presque entièrement de la marge.	The looking up and the calculating has been done and paid for. Every quote that still turns into a yes is almost entirely margin.	Das Nachschlagen und Kalkulieren ist getan und bezahlt. Jedes Angebot, das doch noch ein Ja wird, ist fast vollständig Marge.	Buscar y calcular ya está hecho y pagado. Cada presupuesto que acaba en sí es casi todo margen.
Het uitzoekwerk is al betaald, maar levert niets op.	Le travail de recherche est déjà payé, mais ne rapporte rien.	The research work has already been paid for, but yields nothing.	Die Recherchearbeit ist schon bezahlt, bringt aber nichts ein.	El trabajo de búsqueda ya está pagado, pero no da nada.
Het vrijgekomen slot gaat de lijst op	Le créneau libéré rejoint la liste	The freed-up slot goes on the list	Das frei gewordene Zeitfenster kommt auf die Liste	La franja liberada pasa a la lista
Het werk is al gedaan: de prijs is berekend en verstuurd. Alleen het laatste duwtje ontbreekt, en dat is precies waar de marge zit.	Le travail est déjà fait : le prix est calculé et envoyé. Il ne manque que le dernier coup de pouce, et c'est précisément là que se trouve la marge.	The work is already done: the price has been calculated and sent. Only the final nudge is missing, and that is exactly where the margin sits.	Die Arbeit ist schon getan: der Preis ist berechnet und verschickt. Es fehlt nur der letzte Anstoß, und genau dort sitzt die Marge.	El trabajo ya está hecho: el precio está calculado y enviado. Solo falta el último empujón, y ahí está justo el margen.
Hier wordt aan gewerkt. In de gesprekken die je vandaag ziet, gebruiken we het kenteken al als startpunt van het gesprek; de rechtstreekse koppeling met het register is nog niet af. Zolang dat zo is, staat hier "in ontwikkeling".	Nous y travaillons. Dans les conversations que vous voyez aujourd'hui, nous utilisons déjà la plaque comme point de départ ; l'intégration directe avec le registre n'est pas encore terminée. Tant que c'est le cas, il est indiqué ici « en développement ».	This is being worked on. In the conversations you see today we already use the registration as the starting point of the conversation; the direct integration with the register is not finished. As long as that is the case, this says "in development".	Daran wird gearbeitet. In den Gesprächen, die Sie heute sehen, nutzen wir das Kennzeichen schon als Ausgangspunkt des Gesprächs; die direkte Anbindung an das Register ist noch nicht fertig. Solange das so ist, steht hier „in Entwicklung".	Estamos trabajando en ello. En las conversaciones que ves hoy ya usamos la matrícula como punto de partida; la integración directa con el registro aún no está terminada. Mientras sea así, aquí pone «en desarrollo».
Hier zit het verschil tussen een algemene assistent en iets dat in automotive thuishoort. "Mijn auto maakt een raar geluid" is voor een chatbot een zin. Voor dit systeem is het een aanleiding om te vragen naar het kenteken, en vanaf dat moment ligt er een auto op tafel met een bouwjaar, een brandstof en een vervaldatum.	C'est ici que réside la différence entre un assistant généraliste et quelque chose qui a sa place dans l'automobile. « Ma voiture fait un bruit bizarre » n'est, pour un chatbot, qu'une phrase. Pour ce système, c'est une raison de demander la plaque, et dès cet instant il y a sur la table une voiture avec une année, un carburant et une date d'expiration.	This is where the difference lies between a general assistant and something that belongs in automotive. "My car is making a strange noise" is, to a chatbot, a sentence. To this system it is a reason to ask for the registration, and from that moment there is a car on the table with a year, a fuel type and an expiry date.	Hier liegt der Unterschied zwischen einem allgemeinen Assistenten und etwas, das in die Automobilbranche gehört. „Mein Auto macht ein komisches Geräusch" ist für einen Chatbot ein Satz. Für dieses System ist es ein Anlass, nach dem Kennzeichen zu fragen, und ab diesem Moment liegt ein Auto auf dem Tisch mit Baujahr, Kraftstoff und Ablaufdatum.	Aquí está la diferencia entre un asistente genérico y algo que pertenece al mundo del automóvil. «Mi coche hace un ruido raro» es, para un chatbot, una frase. Para este sistema es un motivo para preguntar la matrícula, y desde ese momento hay un coche sobre la mesa con año, combustible y fecha de caducidad.
Hier zit het verschil. Niet in het antwoord, maar in wat er onder het antwoord ligt.	C'est là que se trouve la différence. Pas dans la réponse, mais dans ce qu'il y a derrière.	This is where the difference sits. Not in the answer, but in what lies underneath it.	Hier sitzt der Unterschied. Nicht in der Antwort, sondern in dem, was darunter liegt.	Aquí está la diferencia. No en la respuesta, sino en lo que hay debajo.
Hij belt de volgende garage in de lijst en jij hoort er nooit van.	Il appelle le garage suivant dans la liste et vous n'en saurez jamais rien.	He calls the next garage on the list and you never hear about it.	Er ruft die nächste Werkstatt auf der Liste an und Sie erfahren nie davon.	Llama al siguiente taller de la lista y tú nunca te enteras.
Hij belt niet terug. Het gesprek loopt door via bericht, tenzij jij terugbelt.	Il ne rappelle pas. La conversation se poursuit par message, sauf si vous rappelez.	He does not call back. The conversation continues by message, unless you call back.	Er ruft nicht zurück. Das Gespräch läuft per Nachricht weiter, es sei denn, Sie rufen zurück.	No devuelve la llamada. La conversación sigue por mensaje, salvo que llames tú.
Hij belt niet. Bij iemand zonder mobiel nummer werkt dit niet.	Il n'appelle pas. Pour quelqu'un sans numéro de mobile, cela ne fonctionne pas.	He does not call. For someone without a mobile number this does not work.	Er ruft nicht an. Bei jemandem ohne Mobilnummer funktioniert das nicht.	No llama. Con alguien sin número de móvil esto no funciona.
Hij benadert geen nummers die niet zelf hebben gebeld.	Il ne contacte pas de numéros qui n'ont pas appelé eux-mêmes.	He does not approach numbers that did not call themselves.	Er spricht keine Nummern an, die nicht selbst angerufen haben.	No contacta números que no hayan llamado ellos mismos.
Hij benadert niemand die heeft aangegeven geen berichten te willen.	Il ne contacte personne ayant indiqué ne pas vouloir de messages.	He approaches nobody who has said they do not want messages.	Er spricht niemanden an, der angegeben hat, keine Nachrichten zu wollen.	No contacta a nadie que haya dicho que no quiere mensajes.
Hij beoordeelt geen aansprakelijkheid en doet geen uitspraak over dekking.	Il ne se prononce ni sur la responsabilité ni sur la couverture.	He does not judge liability and makes no statement about cover.	Er beurteilt keine Haftung und trifft keine Aussage zur Deckung.	No valora la responsabilidad ni se pronuncia sobre la cobertura.
Hij beoordeelt niet of een band nog goed is. Dat meet je monteur.	Il ne juge pas si un pneu est encore bon. C'est votre mécanicien qui le mesure.	He does not judge whether a tyre is still good. Your mechanic measures that.	Er beurteilt nicht, ob ein Reifen noch gut ist. Das misst Ihr Mechaniker.	No valora si un neumático sigue bien. Eso lo mide tu mecánico.
Hij bepaalt niet welk onderhoud er nodig is, alleen dat het moment nadert.	Il ne détermine pas quel entretien est nécessaire, seulement que le moment approche.	He does not decide which servicing is needed, only that the moment is approaching.	Er bestimmt nicht, welche Wartung nötig ist, nur dass der Zeitpunkt näher rückt.	No decide qué mantenimiento hace falta, solo que el momento se acerca.
Hij bestelt niets zelf. Hij zoekt op en koppelt terug, bestellen doet je balie.	Il ne commande rien lui-même. Il cherche et transmet, la commande reste à votre comptoir.	He does not order anything himself. He looks things up and reports back; ordering is done by your front desk.	Er bestellt nichts selbst. Er schlägt nach und meldet zurück, bestellen macht Ihr Empfang.	No pide nada él mismo. Busca e informa; pedir lo hace tu mostrador.
Hij blijft niet aandringen bij wie tweemaal niet reageert.	Il n'insiste pas auprès de ceux qui ne répondent pas deux fois de suite.	He does not keep pushing with anyone who does not respond twice.	Er drängt nicht weiter bei jemandem, der zweimal nicht reagiert.	No insiste con quien no responde dos veces.
Hij blijft niet herhalen bij mensen die stelselmatig niet reageren.	Il ne relance pas sans cesse les personnes qui ne répondent jamais.	He does not keep repeating with people who systematically do not respond.	Er wiederholt nicht ständig bei Menschen, die systematisch nicht reagieren.	No repite una y otra vez con gente que sistemáticamente no responde.
